"municipality","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Total"
"354580 SANTA BARBARA D'OESTE",3,18,-,-,-,-,-,-,-,-,-,-,9,3,-,-,-,-,33
"354640 SANTA CRUZ DO RIO PARDO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354660 SANTA FE DO SUL",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354680 SANTA ISABEL",-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,12
"354730 SANTANA DE PARNAIBA",1,-,-,-,-,-,-,-,-,-,-,-,30,3,-,-,-,-,34
"354760 SANTA ROSA DE VITERBO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"354780 SANTO ANDRE",29,8,-,-,1,-,-,1,-,-,-,-,435,10,-,1,-,-,485
"354810 SANTO ANTONIO DO JARDIM",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"354850 SANTOS",1,1,-,-,1,-,-,-,-,-,-,1,160,64,-,-,-,-,228
"354870 SAO BERNARDO DO CAMPO",21,9,-,-,-,-,-,-,-,-,-,-,452,39,1,-,-,-,522
"354880 SAO CAETANO DO SUL",22,4,-,-,-,-,-,-,-,-,-,-,142,10,-,-,-,-,178
"354890 SAO CARLOS",1,1,-,-,-,-,-,-,-,-,-,-,30,2,-,-,-,-,34
"354910 SAO JOAO DA BOA VISTA",3,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,12
"354940 SAO JOAQUIM DA BARRA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354950 SAO JOSE DA BELA VISTA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"354970 SAO JOSE DO RIO PARDO",-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,9
"354980 SAO JOSE DO RIO PRETO",5,-,-,-,-,-,-,-,-,-,-,-,86,2,-,-,-,-,93
"354990 SAO JOSE DOS CAMPOS",52,46,-,-,-,-,-,-,-,-,-,-,82,2,-,-,-,-,182
"354995 SAO LOURENCO DA SERRA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"355030 SAO PAULO",1019,363,1,4,13,2,3,5,2,-,-,4,9711,443,7,5,-,-,11582
"355040 SAO PEDRO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"355050 SAO PEDRO DO TURVO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"355060 SAO ROQUE",-,-,-,-,-,-,-,-,-,-,-,-,19,1,-,-,-,-,20
"355070 SAO SEBASTIAO",1,1,-,-,8,-,-,-,-,-,-,-,9,-,-,-,-,-,19
"355080 SAO SEBASTIAO DA GRAMA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"355100 SAO VICENTE",-,3,1,-,-,-,-,-,-,-,-,-,19,9,-,-,-,-,32
"355110 SARAPUI",1,1,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,6
"355150 SERRANA",1,1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,5
"355160 SERRA NEGRA",-,-,-,-,-,-,-,-,-,-,-,-,15,1,-,-,-,-,16
"355170 SERTAOZINHO",-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,14
"355200 SILVEIRAS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"355210 SOCORRO",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"355220 SOROCABA",4,1,-,2,-,-,-,-,-,-,-,-,84,7,-,-,-,-,98
"355240 SUMARE",-,13,-,-,-,-,-,-,-,-,-,-,11,1,-,-,-,-,25
"355250 SUZANO",11,3,-,-,-,-,-,-,-,-,-,-,48,1,-,-,-,-,63
"355260 TABAPUA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"355280 TABOAO DA SERRA",11,7,-,-,-,-,-,-,-,-,-,-,48,-,-,-,-,-,66
"355330 TAMBAU",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"355340 TANABI",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"355370 TAQUARITINGA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"355380 TAQUARITUBA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"355400 TATUI",-,-,-,-,-,-,-,-,-,-,-,-,23,3,-,-,-,-,26
"355410 TAUBATE",4,3,-,-,-,-,-,-,-,-,-,-,40,2,-,-,-,-,49
"355430 TEODORO SAMPAIO",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"355450 TIETE",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"355480 TREMEMBE",-,3,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,6
"355500 TUPA",1,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,6
"355510 TUPI PAULISTA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"355530 TURMALINA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"355535 UBARANA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"355540 UBATUBA",-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,10
"355560 UCHOA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"355580 URANIA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"355610 VALENTIM GENTIL",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"355620 VALINHOS",1,4,-,-,-,-,-,-,-,-,-,-,28,1,-,-,-,-,34
"355630 VALPARAISO",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"355640 VARGEM GRANDE DO SUL",-,-,-,-,-,-,-,-,-,-,-,-,9,1,-,-,-,-,10
"355645 VARGEM GRANDE PAULISTA",1,1,-,-,-,-,-,-,-,-,-,-,12,1,-,-,-,-,15
"355650 VARZEA PAULISTA",4,-,-,-,-,-,-,-,-,-,-,-,13,2,-,-,-,-,19
"355670 VINHEDO",1,1,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,22
"355680 VIRADOURO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"355700 VOTORANTIM",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"355710 VOTUPORANGA",-,-,-,-,-,-,-,-,-,-,-,-,25,2,-,-,-,-,27
"410040 ALMIRANTE TAMANDARE",-,-,-,-,-,-,-,-,-,-,-,-,18,7,-,-,-,-,25
"410120 ANTONINA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"410160 ARAPOTI",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"410180 ARAUCARIA",-,-,-,-,-,-,-,-,-,-,-,-,9,11,-,-,-,-,20
"410230 BALSA NOVA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"410280 BELA VISTA DO PARAISO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"410290 BITURUNA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"410400 CAMPINA GRANDE DO SUL",-,-,-,-,-,-,-,-,-,-,-,-,11,6,-,-,-,-,17
"410410 CAMPO DO TENENTE",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"410420 CAMPO LARGO",-,-,-,-,-,-,-,-,-,-,-,-,21,13,-,-,-,-,34
"410425 CAMPO MAGRO",-,-,-,-,-,-,-,-,-,-,-,-,8,1,-,-,-,-,9
"410430 CAMPO MOURAO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"410445 CANTAGALO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"410450 CAPANEMA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
"410470 CARLOPOLIS",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"410480 CASCAVEL",10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
"410490 CASTRO",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"410530 CEU AZUL",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"410550 CIANORTE",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,2
"410580 COLOMBO",-,-,-,-,-,-,-,-,-,-,-,-,33,3,-,-,-,-,36
"410680 CRUZ MACHADO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"410690 CURITIBA",22,4,-,-,-,-,-,-,-,-,-,-,1093,349,-,1,-,1,1470
"410725 DOURADINA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"410765 FAZENDA RIO GRANDE",-,-,-,-,-,-,-,-,-,-,-,-,9,1,-,-,-,-,10
"410830 FOZ DO IGUACU",7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
"410832 FRANCISCO ALVES",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"410840 FRANCISCO BELTRAO",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"410850 GENERAL CARNEIRO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,2
"410880 GUAIRA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"410890 GUAIRACA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"410940 GUARAPUAVA",-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3
"410960 GUARATUBA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"410970 IBAITI",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"411007 IMBAU",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"411010 IMBITUVA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"411020 INACIO MARTINS",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"411060 IPORA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"411070 IRATI",-,-,-,-,-,-,-,-,-,-,-,-,8,1,-,-,-,-,9
"411150 IVAIPORA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"411180 JACAREZINHO",-,-,-,-,-,-,-,-,-,-,-,-,6,2,-,-,-,-,8
"411200 JAGUARIAIVA",-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"411210 JANDAIA DO SUL",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"411270 JATAIZINHO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"411320 LAPA",-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,3
"411370 LONDRINA",4,-,-,-,-,-,-,-,-,-,-,-,7,1,-,-,-,-,12
"411390 MALLET",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"411430 MANDIRITUBA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"411460 MARECHAL CANDIDO RONDON",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"411520 MARINGA",1,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,6
"411535 MARIPA",5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
"411570 MATINHOS",-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3
"411580 MEDIANEIRA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"411605 MISSAL",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"411620 MORRETES",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
"411710 NOVA LONDRINA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"411722 NOVA SANTA ROSA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"411730 ORTIGUEIRA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2
"411800 PARAISO DO NORTE",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2
"411820 PARANAGUA",-,-,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,9
"411850 PATO BRANCO",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"411860 PAULA FREITAS",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"411915 PINHAIS",1,-,-,-,-,-,-,-,-,-,-,-,26,24,-,-,-,-,51
"411930 PINHAO",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"411950 PIRAQUARA",-,-,-,-,-,-,-,-,-,-,-,-,13,5,-,-,-,-,18
"411990 PONTA GROSSA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"411995 PONTAL DO PARANA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"412080 QUATRO BARRAS",-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,6
"412090 QUEDAS DO IGUACU",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"412120 QUITANDINHA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"412200 RIO AZUL",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"412220 RIO BRANCO DO SUL",-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,8
"412240 ROLANDIA",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"412350 SANTA HELENA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"412370 SANTA ISABEL DO IVAI",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"412550 SAO JOSE DOS PINHAIS",-,1,-,-,-,-,-,-,-,-,-,-,31,5,-,-,-,-,37
"412625 SARANDI",-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,3
"412630 SENGES",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"412710 TELEMACO BORBA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"412730 TERRA RICA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"412770 TOLEDO",1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,4
"412796 TURVO",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"412820 UNIAO DA VITORIA",-,-,-,-,-,-,-,-,-,-,-,-,10,3,-,-,-,-,13
"412862 ALTO PARAISO",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"420075 ALTO BELA VISTA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"420140 ARARANGUA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"420200 BALNEARIO CAMBORIU",1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,5
"420207 BALNEARIO GAIVOTA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"420220 BENEDITO NOVO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"420240 BLUMENAU",3,-,-,-,1,1,-,-,-,-,-,-,1,2,-,-,-,-,8
"420290 BRUSQUE",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"420300 CACADOR",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"420350 CAMPO ERE",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"420380 CANOINHAS",1,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,12
"420400 CATANDUVAS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"420430 CONCORDIA",1,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,18
"420460 CRICIUMA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"420540 FLORIANOPOLIS",42,4,-,-,-,-,1,-,-,-,-,-,49,67,-,-,-,-,163
"420570 GAROPABA",1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,4
"420600 GOVERNADOR CELSO RAMOS",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"420650 GUARAMIRIM",-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,4
"420700 ICARA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"420730 IMBITUBA",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"420750 INDAIAL",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"420800 ITA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"420820 ITAJAI",7,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,9
"420845 ITAPOA",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"420860 JABORA",-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"420870 JACINTO MACHADO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"420890 JARAGUA DO SUL",1,-,-,-,-,-,-,-,-,-,-,-,15,4,-,-,-,-,20
"420910 JOINVILLE",5,-,-,-,-,-,-,-,-,-,-,-,134,15,-,-,-,-,154
"420940 LAGUNA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"420990 LONTRAS",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"421010 MAFRA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"421050 MARAVILHA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"421055 MAREMA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"421090 MODELO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"421110 MONTE CASTELO",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"421130 NAVEGANTES",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"421150 NOVA TRENTO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"421190 PALHOCA",-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,4
"421260 PERITIBA",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"421280 BALNEARIO PICARRAS",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"421350 PORTO BELO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"421360 PORTO UNIAO",-,-,-,-,-,-,-,-,-,-,-,-,8,4,-,-,-,-,12
"421390 PRESIDENTE CASTELLO BRANCO",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"421470 RIO DOS CEDROS",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"421580 SAO BENTO DO SUL",1,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,7
"421620 SAO FRANCISCO DO SUL",-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4
"421630 SAO JOAO BATISTA",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"421660 SAO JOSE",2,-,-,-,-,-,-,-,-,-,-,-,9,1,-,-,-,-,12
"421690 SAO LOURENCO DO OESTE",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"421730 SAUDADES",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"421740 SCHROEDER",-,-,-,-,-,-,-,-,-,-,-,-,6,2,-,-,-,-,8
"421750 SEARA",-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
"421830 TRES BARRAS",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"421870 TUBARAO",1,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,6
"421917 VARGEM BONITA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"421985 ZORTEA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"430003 ACEGUA",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"430040 ALEGRETE",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430060 ALVORADA",74,5,-,-,-,-,-,-,-,-,-,1,3,-,-,1,-,-,84
"430080 ANTONIO PRADO",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
"430087 ARARICA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430107 ARROIO DO PADRE",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
"430160 BAGE",48,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,49
"430210 BENTO GONCALVES",18,5,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,27
"430220 BOA VISTA DO BURICA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430240 BOM RETIRO DO SUL",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430265 BROCHIER",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430270 BUTIA",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"430280 CACAPAVA DO SUL",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430290 CACEQUI",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430300 CACHOEIRA DO SUL",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"430310 CACHOEIRINHA",51,-,-,1,-,-,-,-,-,-,-,-,25,3,-,-,-,-,80
"430350 CAMAQUA",9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
"430390 CAMPO BOM",3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"430435 CANDIOTA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"430440 CANELA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430450 CANGUCU",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"430460 CANOAS",65,6,-,-,-,-,-,-,-,-,-,3,7,1,-,-,-,-,82
"430463 CAPAO DA CANOA",31,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32
"430466 CAPAO DO LEAO",15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15
"430467 CAPIVARI DO SUL",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430470 CARAZINHO",1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,3
"430480 CARLOS BARBOSA",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"430485 CARLOS GOMES",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"430510 CAXIAS DO SUL",30,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32
"430511 CENTENARIO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430512 CERRITO",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"430513 CERRO BRANCO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430520 CERRO LARGO",2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"430535 CHARQUEADAS",9,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
"430543 CHUI",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"430545 CIDREIRA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430550 CIRIACO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430558 COLINAS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430560 COLORADO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430595 COTIPORA",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"430597 COXILHA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430610 CRUZ ALTA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"430620 CRUZEIRO DO SUL",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430640 DOIS IRMAOS",3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4
"430660 DOM PEDRITO",33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33
"430676 ELDORADO DO SUL",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
"430700 ERECHIM",11,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
"430710 HERVAL",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430750 ESPUMOSO",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"430760 ESTANCIA VELHA",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"430770 ESTEIO",5,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,9
"430780 ESTRELA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430790 FARROUPILHA",19,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20
"430810 FELIZ",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430820 FLORES DA CUNHA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430850 FREDERICO WESTPHALEN",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"430910 GRAMADO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430920 GRAVATAI",45,1,-,-,-,-,-,-,-,-,-,-,24,2,-,-,-,-,72
"430930 GUAIBA",10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
"430940 GUAPORE",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"430975 IBARAMA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"430990 IBIRAIARAS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431000 IBIRUBA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431020 IJUI",13,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,17
"431033 IMBE",17,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18
"431043 IPE",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431080 IVOTI",3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"431085 JABOTICABA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431100 JAGUARAO",15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15
