"municipality","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Total"
"230430 FARIAS BRITO",1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2
"230435 FORQUILHA",-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,17
"230440 FORTALEZA",55,21,-,2,-,1,-,430,103,2,-,-,7,-,-,1,-,1,623
"230445 FORTIM",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"230450 FRECHEIRINHA",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"230470 GRANJA",-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,2
"230495 GUAIUBA",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"230500 GUARACIABA DO NORTE",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"230520 HIDROLANDIA",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"230523 HORIZONTE",118,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,121
"230533 IBICUITINGA",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"230540 ICO",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"230550 IGUATU",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2
"230590 IPUEIRAS",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"230610 IRAUCUBA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"230625 ITAITINGA",-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,3
"230640 ITAPIPOCA",1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2
"230660 ITATIRA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"230680 JAGUARIBARA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"230690 JAGUARIBE",-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
"230750 LAVRAS DA MANGABEIRA",-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
"230765 MARACANAU",8,2,-,1,-,-,-,9,3,-,-,-,1,-,-,-,-,-,24
"230770 MARANGUAPE",-,-,-,-,-,-,-,7,-,-,-,-,1,-,-,-,-,-,8
"230780 MARCO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"230790 MARTINOPOLE",-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,5
"230800 MASSAPE",-,-,-,-,-,-,-,129,-,-,-,-,-,-,2,-,-,-,131
"230810 MAURITI",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"230820 MERUOCA",-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,5
"230870 MORADA NOVA",7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
"230880 MORAUJO",-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"230890 MORRINHOS",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
